"elapsed_seconds","working_set_bytes","private_bytes","dedicated_gpu_bytes"
"1.9","217993216","606068736","433778688"
"3.9","218206208","606134272","433778688"
"5.9","218259456","606199808","433778688"
"8","218267648","606199808","433778688"
"10","218263552","606195712","433778688"
"12","218275840","606216192","433778688"
"14","218275840","606220288","433778688"
"16.1","218279936","606220288","433778688"
"18.1","218284032","606187520","433778688"
"20.2","218316800","606195712","433778688"
"22.2","218320896","606195712","433778688"
"24.2","218349568","606220288","433778688"
"26.2","218357760","606253056","433778688"
"28.2","218357760","606240768","433778688"
"30.3","218353664","606208000","433778688"
"32.3","218353664","606216192","433778688"
"34.3","218353664","606216192","433778688"
"36.4","218365952","606232576","433778688"
"38.4","218382336","606244864","433778688"
"40.4","218386432","606232576","433778688"
"42.4","218505216","606232576","433778688"
"44.5","218501120","606248960","433778688"
"46.5","218521600","606261248","433778688"
"48.5","218546176","606289920","433778688"
"50.5","218546176","606289920","433778688"
"52.6","218550272","606289920","433778688"
"54.6","218550272","606289920","433778688"
"56.6","218550272","606289920","433778688"
"58.7","218550272","606289920","433778688"
"60.7","218492928","606183424","433778688"
"62.7","218492928","606183424","433778688"
"64.7","218497024","606183424","433778688"
"66.8","218497024","606183424","433778688"
"68.8","218501120","606183424","433778688"
"70.8","218505216","606183424","433778688"
"72.9","218505216","606183424","433778688"
"74.9","218505216","606183424","433778688"
"76.9","218509312","606183424","433778688"
"78.9","218513408","606183424","433778688"
"81","218513408","606183424","433778688"
"83","218513408","606183424","433778688"
"85","218513408","606183424","433778688"
"87","218513408","606183424","433778688"
"89.1","218513408","606183424","433778688"
"91.1","218517504","606183424","433778688"
"93.1","218517504","606183424","433778688"
"95.1","218517504","606183424","433778688"
"97.2","218517504","606183424","433778688"
"99.2","218517504","606183424","433778688"
"101.2","218517504","606183424","433778688"
"103.2","218517504","606183424","433778688"
"105.3","218517504","606183424","433778688"
"107.3","218517504","606183424","433778688"
"109.3","218517504","606183424","433778688"
"111.4","218517504","606183424","433778688"
"113.4","218517504","606183424","433778688"
"115.4","218517504","606183424","433778688"
"117.4","218517504","606183424","433778688"
"119.5","218521600","606183424","433778688"
"121.5","218521600","606183424","433778688"
"123.5","218501120","606146560","433778688"
"125.6","218501120","606146560","433778688"
"127.6","218501120","606146560","433778688"
"129.6","218501120","606146560","433778688"
"131.6","218505216","606146560","433778688"
"133.7","218509312","606146560","433778688"
"135.7","218476544","606072832","433778688"
"137.7","218476544","606072832","433778688"
"139.8","218476544","606072832","433778688"
"141.8","218476544","606072832","433778688"
"143.8","218476544","606072832","433778688"
"145.8","218476544","606072832","433778688"
"147.9","218476544","606072832","433778688"
"149.9","218476544","606072832","433778688"
"151.9","218476544","606072832","433778688"
"153.9","218476544","606072832","433778688"
"156","218480640","606072832","433778688"
"158","218480640","606072832","433778688"
"160","218484736","606072832","433778688"
"162.1","218484736","606072832","433778688"
"164.1","218484736","606072832","433778688"
"166.1","218484736","606072832","433778688"
"168.1","218488832","606072832","433778688"
"170.1","218488832","606072832","433778688"
"172.2","218488832","606072832","433778688"
"174.2","218488832","606072832","433778688"
"176.2","218488832","606072832","433778688"
"178.3","218488832","606072832","433778688"
"180.3","218488832","606072832","433778688"
"182.3","218378240","606072832","433778688"
"184.4","218300416","606072832","433778688"
"186.4","218300416","606072832","433778688"
"188.4","218300416","606072832","433778688"
"190.4","218300416","606072832","433778688"
"192.5","218304512","606072832","433778688"
"194.5","218304512","606072832","433778688"
"196.5","218304512","606072832","433778688"
"198.5","218304512","606072832","433778688"
"200.6","218304512","606072832","433778688"
"202.6","218304512","606072832","433778688"
"204.6","218304512","606072832","433778688"
"206.6","218304512","606072832","433778688"
"208.7","218304512","606072832","433778688"
"210.7","218316800","606072832","433778688"
"212.7","218316800","606072832","433778688"
"214.8","218316800","606072832","433778688"
"216.8","218316800","606072832","433778688"
"218.8","218316800","606072832","433778688"
"220.8","218316800","606072832","433778688"
"222.9","218316800","606072832","433778688"
"224.9","218316800","606072832","433778688"
"226.9","218316800","606072832","433778688"
"229","218316800","606072832","433778688"
"231","218316800","606072832","433778688"
"233","218316800","606072832","433778688"
"235","218316800","606072832","433778688"
"237.1","218316800","606072832","433778688"
"239.1","218316800","606072832","433778688"
"241.1","218316800","606072832","433778688"
"243.1","218316800","606072832","433778688"
"245.2","218316800","606072832","433778688"
"247.2","218316800","606072832","433778688"
"249.2","218320896","606072832","433778688"
"251.2","218320896","606072832","433778688"
"253.3","218320896","606072832","433778688"
"255.3","218320896","606072832","433778688"
"257.3","218320896","606072832","433778688"
"259.4","218320896","606072832","433778688"
"261.4","218320896","606072832","433778688"
"263.4","218320896","606072832","433778688"
"265.5","218320896","606072832","433778688"
"267.5","218324992","606072832","433778688"
"269.5","218324992","606072832","433778688"
"271.5","218324992","606072832","433778688"
"273.6","218324992","606072832","433778688"
"275.6","218324992","606072832","433778688"
"277.6","218324992","606072832","433778688"
"279.6","218324992","606072832","433778688"
"281.7","218324992","606072832","433778688"
"283.7","218324992","606072832","433778688"
"285.7","218324992","606072832","433778688"
"287.8","218324992","606072832","433778688"
"289.8","218324992","606072832","433778688"
"291.8","218324992","606072832","433778688"
"293.9","218324992","606072832","433778688"
"295.9","218324992","606072832","433778688"
"297.9","218324992","606072832","433778688"
"299.9","218324992","606072832","433778688"
"302","218652672","606146560","433778688"
"304","218652672","606146560","433778688"
"306","218652672","606146560","433778688"
"308","218652672","606146560","433778688"
"310.1","218652672","606146560","433778688"
"312.1","218652672","606146560","433778688"
"314.1","218652672","606146560","433778688"
"316.1","218652672","606146560","433778688"
"318.2","218652672","606146560","433778688"
"320.2","218652672","606146560","433778688"
"322.2","218652672","606146560","433778688"
"324.2","218652672","606146560","433778688"
"326.3","218652672","606146560","433778688"
"328.3","218652672","606146560","433778688"
"330.3","218652672","606146560","433778688"
"332.4","218652672","606146560","433778688"
"334.4","218652672","606146560","433778688"
"336.4","218652672","606146560","433778688"
"338.4","218652672","606146560","433778688"
"340.4","218652672","606146560","433778688"
"342.5","218652672","606146560","433778688"
"344.5","218652672","606146560","433778688"
"346.5","218652672","606146560","433778688"
"348.5","218652672","606146560","433778688"
"350.6","218652672","606146560","433778688"
"352.6","218652672","606146560","433778688"
"354.6","218652672","606146560","433778688"
"356.6","218652672","606146560","433778688"
"358.7","218652672","606146560","433778688"
"360.7","218660864","606146560","433778688"
"362.7","218836992","606257152","433778688"
"364.7","218836992","606257152","433778688"
"366.8","218836992","606257152","433778688"
"368.8","218836992","606257152","433778688"
"370.8","218836992","606257152","433778688"
"372.9","218836992","606257152","433778688"
"374.9","218836992","606257152","433778688"
"376.9","218836992","606257152","433778688"
"378.9","218836992","606257152","433778688"
"381","218836992","606257152","433778688"
"383","218836992","606257152","433778688"
"385","218836992","606257152","433778688"
"387.1","218836992","606257152","433778688"
"389.1","218836992","606257152","433778688"
"391.1","218836992","606257152","433778688"
"393.1","218836992","606257152","433778688"
"395.1","218836992","606257152","433778688"
"397.2","218836992","606257152","433778688"
"399.2","218836992","606257152","433778688"
"401.2","218836992","606257152","433778688"
"403.2","218796032","606183424","433778688"
"405.3","218796032","606183424","433778688"
"407.3","218796032","606183424","433778688"
"409.3","218800128","606183424","433778688"
"411.3","218800128","606183424","433778688"
"413.4","218800128","606183424","433778688"
"415.4","218800128","606183424","433778688"
"417.4","218800128","606183424","433778688"
"419.4","218800128","606183424","433778688"
"421.5","218800128","606183424","433778688"
"423.5","218800128","606183424","433778688"
"425.5","218800128","606183424","433778688"
"427.6","218800128","606183424","433778688"
"429.6","218800128","606183424","433778688"
"431.6","218800128","606183424","433778688"
"433.6","218800128","606183424","433778688"
"435.7","218800128","606183424","433778688"
"437.7","218800128","606183424","433778688"
"439.7","218800128","606183424","433778688"
"441.7","218800128","606183424","433778688"
"443.8","218800128","606183424","433778688"
"445.8","218800128","606183424","433778688"
"447.8","218800128","606183424","433778688"
"449.8","218800128","606183424","433778688"
"451.9","218800128","606183424","433778688"
"453.9","218800128","606183424","433778688"
"455.9","218800128","606183424","433778688"
"457.9","218800128","606183424","433778688"
"460","218800128","606183424","433778688"
"462","218808320","606183424","433778688"
"464","218808320","606183424","433778688"
"466","218808320","606183424","433778688"
"468.1","218808320","606183424","433778688"
"470.1","218755072","606072832","433778688"
"472.1","218755072","606072832","433778688"
"474.1","218755072","606072832","433778688"
"476.2","218755072","606072832","433778688"
"478.2","218755072","606072832","433778688"
"480.2","218755072","606072832","433778688"
"482.2","218755072","606072832","433778688"
"484.3","218755072","606072832","433778688"
"486.3","218755072","606072832","433778688"
"488.3","218755072","606072832","433778688"
"490.3","218755072","606072832","433778688"
"492.4","218755072","606072832","433778688"
"494.4","218755072","606072832","433778688"
"496.4","218755072","606072832","433778688"
"498.5","218755072","606072832","433778688"
"500.5","218755072","606072832","433778688"
"502.5","218755072","606072832","433778688"
"504.5","218755072","606072832","433778688"
"506.6","218755072","606072832","433778688"
"508.6","218755072","606072832","433778688"
"510.6","218755072","606072832","433778688"
"512.6","218755072","606072832","433778688"
"514.7","218755072","606072832","433778688"
"516.7","218755072","606072832","433778688"
"518.7","218755072","606072832","433778688"
"520.7","218755072","606072832","433778688"
"522.8","218755072","606072832","433778688"
"524.8","218755072","606072832","433778688"
"526.8","218755072","606072832","433778688"
"528.8","218755072","606072832","433778688"
"530.9","218755072","606072832","433778688"
"532.9","218755072","606072832","433778688"
"534.9","218755072","606072832","433778688"
"537","218755072","606072832","433778688"
"539","218755072","606072832","433778688"
"541","218755072","606072832","433778688"
"543","218755072","606072832","433778688"
"545.1","218755072","606072832","433778688"
"547.1","218755072","606072832","433778688"
"549.1","218755072","606072832","433778688"
"551.1","218755072","606072832","433778688"
"553.2","218755072","606072832","433778688"
"555.2","218755072","606072832","433778688"
"557.2","218755072","606072832","433778688"
"559.2","218755072","606072832","433778688"
"561.3","218755072","606072832","433778688"
"563.3","218755072","606072832","433778688"
"565.3","218755072","606072832","433778688"
"567.4","218755072","606072832","433778688"
"569.4","218755072","606072832","433778688"
"571.4","218755072","606072832","433778688"
"573.4","218755072","606072832","433778688"
"575.5","218755072","606072832","433778688"
"577.5","218755072","606072832","433778688"
"579.5","218755072","606072832","433778688"
"581.6","218755072","606072832","433778688"
"583.6","218755072","606072832","433778688"
"585.6","218755072","606072832","433778688"
"587.6","218755072","606072832","433778688"
"589.7","218755072","606072832","433778688"
"591.7","218755072","606072832","433778688"
"593.7","218755072","606072832","433778688"
"595.8","218755072","606072832","433778688"
"597.8","218755072","606072832","433778688"
"599.8","218755072","606072832","433778688"
"601.9","218804224","606109696","433778688"
"603.9","218804224","606109696","433778688"
"605.9","218804224","606109696","433778688"
"607.9","218804224","606109696","433778688"
"610","218804224","606109696","433778688"
"612","218804224","606109696","433778688"
"614","218804224","606109696","433778688"
"616.1","218804224","606109696","433778688"
"618.1","218804224","606109696","433778688"
"620.1","218808320","606109696","433778688"
"622.1","218808320","606109696","433778688"
"624.2","218808320","606109696","433778688"
"626.2","218808320","606109696","433778688"
"628.2","218808320","606109696","433778688"
"630.2","218812416","606109696","433778688"
"632.2","218812416","606109696","433778688"
"634.3","218812416","606109696","433778688"
"636.3","218812416","606109696","433778688"
"638.3","218763264","606109696","433778688"
"640.4","218763264","606109696","433778688"
"642.4","218763264","606109696","433778688"
"644.4","218763264","606109696","433778688"
"646.5","218763264","606109696","433778688"
"648.5","218763264","606109696","433778688"
"650.5","218763264","606109696","433778688"
"652.5","218763264","606109696","433778688"
"654.6","218763264","606109696","433778688"
"656.6","218763264","606109696","433778688"
"658.6","218763264","606109696","433778688"
"660.7","218763264","606109696","433778688"
"662.7","218763264","606109696","433778688"
"664.7","218763264","606109696","433778688"
"666.7","218763264","606109696","433778688"
"668.8","218763264","606109696","433778688"
"670.8","218742784","606072832","433778688"
"672.8","218742784","606072832","433778688"
"674.8","218742784","606072832","433778688"
"676.9","218742784","606072832","433778688"
"678.9","218742784","606072832","433778688"
"680.9","218742784","606072832","433778688"
"682.9","218742784","606072832","433778688"
"685","218742784","606072832","433778688"
"687","218742784","606072832","433778688"
"689","218742784","606072832","433778688"
"691","218742784","606072832","433778688"
"693.1","218742784","606072832","433778688"
"695.1","218742784","606072832","433778688"
"697.1","218742784","606072832","433778688"
"699.1","218742784","606072832","433778688"
"701.2","218746880","606072832","433778688"
"703.2","218746880","606072832","433778688"
"705.2","218746880","606072832","433778688"
"707.3","218746880","606072832","433778688"
"709.3","218746880","606072832","433778688"
"711.3","218746880","606072832","433778688"
"713.3","218746880","606072832","433778688"
"715.4","218746880","606072832","433778688"
"717.4","218746880","606072832","433778688"
"719.4","218746880","606072832","433778688"
"721.5","218746880","606072832","433778688"
"723.5","218746880","606072832","433778688"
"725.5","218746880","606072832","433778688"
"727.5","218746880","606072832","433778688"
"729.6","218746880","606072832","433778688"
"731.6","218746880","606072832","433778688"
"733.6","218746880","606072832","433778688"
"735.6","218746880","606072832","433778688"
"737.7","218746880","606072832","433778688"
"739.7","218746880","606072832","433778688"
"741.7","218746880","606072832","433778688"
"743.7","218746880","606072832","433778688"
"745.8","218746880","606072832","433778688"
"747.8","218746880","606072832","433778688"
"749.8","218746880","606072832","433778688"
"751.9","218746880","606072832","433778688"
"753.9","218746880","606072832","433778688"
"755.9","218746880","606072832","433778688"
"757.9","218746880","606072832","433778688"
"760","218746880","606072832","433778688"
"762","218746880","606072832","433778688"
"764","218746880","606072832","433778688"
"766","218746880","606072832","433778688"
"768","218746880","606072832","433778688"
"770.1","218746880","606072832","433778688"
"772.1","218746880","606072832","433778688"
"774.1","218746880","606072832","433778688"
"776.2","218746880","606072832","433778688"
"778.2","218746880","606072832","433778688"
"780.2","218746880","606072832","433778688"
"782.3","218746880","606072832","433778688"
"784.3","218746880","606072832","433778688"
"786.3","218746880","606072832","433778688"
"788.4","218746880","606072832","433778688"
"790.4","218746880","606072832","433778688"
"792.4","218746880","606072832","433778688"
"794.4","218746880","606072832","433778688"
"796.5","218746880","606072832","433778688"
"798.5","218746880","606072832","433778688"
"800.5","218746880","606072832","433778688"
"802.5","218746880","606072832","433778688"
"804.6","218746880","606072832","433778688"
"806.6","218746880","606072832","433778688"
"808.6","218746880","606072832","433778688"
"810.6","218746880","606072832","433778688"
"812.7","218746880","606072832","433778688"
"814.7","218746880","606072832","433778688"
"816.7","218746880","606072832","433778688"
"818.7","218746880","606072832","433778688"
"820.8","218746880","606072832","433778688"
"822.8","218746880","606072832","433778688"
"824.8","218746880","606072832","433778688"
"826.8","218746880","606072832","433778688"
"828.9","218746880","606072832","433778688"
"830.9","218746880","606072832","433778688"
"832.9","218746880","606072832","433778688"
"834.9","218746880","606072832","433778688"
"837","218746880","606072832","433778688"
"839","218746880","606072832","433778688"
"841","218746880","606072832","433778688"
"843.1","218746880","606072832","433778688"
"845.1","218746880","606072832","433778688"
"847.1","218746880","606072832","433778688"
"849.2","218746880","606072832","433778688"
"851.2","218746880","606072832","433778688"
"853.2","218746880","606072832","433778688"
"855.2","218746880","606072832","433778688"
"857.3","218746880","606072832","433778688"
"859.3","218746880","606072832","433778688"
"861.3","218746880","606072832","433778688"
"863.4","218750976","606072832","433778688"
"865.4","218750976","606072832","433778688"
"867.4","218750976","606072832","433778688"
"869.4","218750976","606072832","433778688"
"871.5","218730496","606035968","433778688"
"873.5","218730496","606035968","433778688"
"875.5","218730496","606035968","433778688"
"877.5","218730496","606035968","433778688"
"879.6","218730496","606035968","433778688"
"881.6","218750976","606072832","433778688"
"883.6","218750976","606072832","433778688"
"885.7","218750976","606072832","433778688"
"887.7","218750976","606072832","433778688"
"889.7","218750976","606072832","433778688"
"891.7","218750976","606072832","433778688"
"893.8","218750976","606072832","433778688"
"895.8","218750976","606072832","433778688"
"897.8","218750976","606072832","433778688"
"899.8","218750976","606072832","433778688"
"901.9","218750976","606072832","433778688"
"903.9","218750976","606072832","433778688"
"905.9","218750976","606072832","433778688"
"908","218750976","606072832","433778688"
"910","218750976","606072832","433778688"
"912","218750976","606072832","433778688"
"914.1","218750976","606072832","433778688"
"916.1","218755072","606072832","433778688"
"918.1","218755072","606072832","433778688"
